customer_id,signup_date,tenure_months,plan_type,signup_channel,monthly_spend,num_support_tickets,last_login_days_ago,payment_failures_past_90d,cancel_page_views_30d,is_churned
C105759,2022-01-01,24,Basic,organic,16.14,1,3.0,0,0,0
C101487,2022-01-01,24,Basic,organic,20.9,1,7.0,0,0,0
C106905,2022-01-01,24,Basic,referral,17.56,1,3.0,0,0,0
C106301,2022-01-01,24,Standard,organic,43.0,2,1.0,0,0,0
C107005,2022-01-01,24,Basic,referral,22.35,1,3.0,0,0,0
C103673,2022-01-01,24,Basic,paid_search,22.61,1,0.0,0,0,0
C105082,2022-01-01,24,Basic,paid_search,19.79,1,7.0,0,0,0
C102315,2022-01-01,24,Standard,organic,44.17,1,2.0,0,0,0
C107362,2022-01-01,24,Premium,paid_search,94.86,0,13.0,0,0,0
C102258,2022-01-01,24,Standard,paid_search,35.38,1,2.0,0,0,0
C102441,2022-01-01,24,Premium,paid_search,91.9,1,1.0,0,0,0
C105461,2022-01-02,24,Basic,organic,13.58,2,1.0,0,0,0
C106983,2022-01-02,24,Basic,organic,21.14,2,5.0,0,0,0
C106740,2022-01-02,24,Premium,referral,91.18,1,5.0,0,2,1
C101408,2022-01-02,24,Basic,organic,17.87,2,3.0,1,0,0
C101481,2022-01-02,24,Basic,organic,21.41,0,,1,0,0
C107753,2022-01-02,24,Standard,partner,53.7,1,18.0,0,0,0
C104690,2022-01-02,24,Standard,organic,49.24,1,0.0,0,0,0
C101995,2022-01-02,24,Basic,organic,19.51,2,3.0,0,0,0
C101948,2022-01-02,24,Basic,partner,23.81,0,49.0,0,0,0
C101912,2022-01-03,24,Standard,referral,33.33,1,4.0,1,0,0
C104626,2022-01-03,24,Basic,organic,16.25,2,2.0,0,0,0
C101621,2022-01-03,24,Basic,paid_search,16.89,0,1.0,0,0,0
C104110,2022-01-03,24,Basic,referral,20.17,1,17.0,0,0,0
C106413,2022-01-03,24,Standard,organic,30.25,0,12.0,0,0,0
C107066,2022-01-03,24,Premium,paid_search,79.37,1,13.0,0,0,0
C105169,2022-01-03,24,Basic,organic,24.07,1,9.0,0,0,0
C107211,2022-01-03,24,Standard,organic,29.03,2,5.0,0,0,0
C101738,2022-01-03,24,Premium,partner,68.45,0,,0,0,0
C103190,2022-01-03,24,Standard,organic,41.5,2,12.0,0,0,0
C101549,2022-01-04,24,Standard,organic,31.71,0,30.0,0,0,0
C104597,2022-01-04,24,Standard,organic,39.71,0,18.0,0,0,0
C101236,2022-01-04,24,Basic,organic,21.22,1,9.0,0,0,0
C105296,2022-01-04,24,Basic,paid_search,16.31,1,2.0,0,0,0
C103233,2022-01-04,24,Basic,paid_search,19.98,0,5.0,0,0,0
C103216,2022-01-04,24,Standard,paid_search,29.81,1,0.0,0,0,0
C107204,2022-01-04,24,Basic,organic,17.1,1,9.0,0,0,0
C107734,2022-01-04,24,Premium,paid_search,72.69,0,10.0,1,0,0
C100772,2022-01-04,24,Basic,paid_search,18.08,1,6.0,0,0,0
C100844,2022-01-04,24,Basic,organic,18.38,1,7.0,0,0,0
C102627,2022-01-04,24,Standard,paid_search,40.07,1,,0,0,0
C106228,2022-01-04,24,Basic,organic,18.76,0,9.0,0,0,0
C102645,2022-01-04,24,Basic,partner,18.81,3,19.0,1,0,0
C106520,2022-01-04,24,Premium,organic,81.94,0,10.0,0,0,0
C100845,2022-01-04,24,Basic,paid_search,17.71,1,,1,0,0
C100900,2022-01-04,24,Standard,organic,36.71,1,19.0,0,0,0
C102788,2022-01-04,24,Standard,paid_search,28.3,1,8.0,0,0,0
C101293,2022-01-04,24,Standard,organic,44.05,0,7.0,0,0,0
C106056,2022-01-04,24,Basic,organic,17.55,1,18.0,0,0,0
C100380,2022-01-04,24,Standard,referral,40.3,0,13.0,1,0,0
C106075,2022-01-04,24,Standard,referral,40.14,1,10.0,1,0,0
C106357,2022-01-04,24,Standard,organic,42.36,1,7.0,0,0,0
C100464,2022-01-05,24,Basic,referral,21.78,1,2.0,0,0,0
